57;464
57;464
57;463
58;462
59;462
59;461
60;461
60;460
60;459
61;459
62;459
62;458
63;458
64;458
65;458
65;457
66;456
67;456
67;455
68;455
69;455
69;454
70;454
71;453
71;452
72;452
73;452
75;451
75;450
78;449
79;448
80;448
81;448
82;448
83;448
84;447
85;446
85;445
86;444
87;444
88;444
89;444
90;443
91;443
92;442
93;442
94;442
95;442
95;440
96;440
97;439
98;439
99;439
100;439
100;439
101;438
102;437
103;436
104;436
105;436
107;435
108;435
108;434
109;434
110;434
111;434
111;433
112;433
113;432
114;432
115;431
117;430
119;429
120;428
122;428
125;428
126;427
128;427
129;427
130;427
131;427
132;427
133;426
134;426
135;425
136;425
136;424
137;424
138;424
139;424
140;423
141;423
143;423
143;422
144;421
145;420
146;420
147;420
147;419
148;419
149;418
150;418
151;418
151;417
152;417
154;416
155;415
156;414
157;414
158;413
159;413
159;412
160;412
160;411
161;411
162;411
163;411
163;410
164;409
165;409
166;409
167;409
167;408
168;408
168;407
169;407
170;407
171;407
174;407
175;406
176;405
177;405
177;404
178;404
179;403
180;403
181;403
181;402
182;402
183;402
184;401
185;401
186;401
186;400
187;400
190;400
191;399
192;399
193;399
194;399
194;398
195;398
196;397
197;396
198;396
199;396
201;396
201;395
202;395
202;394
203;394
204;394
205;394
206;393
206;393
206;393
206;393
206;393
206;393
206;393
206;393
206;393
207;392
207;392
207;392
207;392
207;392
207;392
207;392
207;392
208;392
208;391
209;391
210;391
211;390
212;389
213;388
214;387
215;387
216;387
217;386
218;385
218;384
220;384
220;383
220;382
221;382
222;381
223;380
224;380
225;380
226;379
227;379
228;379
229;379
229;378
230;378
231;378
232;378
233;378
233;377
234;377
235;377
237;379
240;379
241;379
242;379
243;379
244;380
245;380
247;380
249;381
252;381
253;381
254;381
255;381
256;381
257;381
258;381
259;381
260;381
261;381
262;381
263;380
263;379
265;378
266;377
267;377
268;376
268;374
269;373
269;372
269;371
270;370
270;369
271;369
271;368
271;367
271;366
272;366
273;364
273;363
274;362
276;361
277;361
278;361
279;361
280;361
281;360
281;359
282;359
282;358
283;357
283;356
284;356
284;355
285;355
285;354
286;353
287;352
287;351
287;350
288;349
288;348
289;347
289;346
289;345
289;344
289;343
290;343
290;342
291;342
292;342
293;342
293;341
294;340
295;340
296;339
297;339
297;338
298;338
298;337
299;337
300;337
300;336
301;336
301;335
302;335
302;334
303;334
304;334
305;333
306;332
307;332
307;331
308;331
308;330
310;330
310;329
311;329
311;328
312;328
312;327
312;326
313;326
314;326
315;325
316;325
317;325
318;325
318;324
318;323
319;323
320;323
321;322
322;322
323;322
324;321
325;321
326;321
326;320
327;319
328;319
328;318
330;318
330;317
331;317
332;317
332;316
333;316
334;315
335;315
336;315
337;315
338;315
339;314
340;314
341;313
341;312
341;311
342;310
342;309
343;309
344;309
345;309
345;308
346;308
347;308
348;307
349;307
349;306
350;306
351;306
352;306
353;306
353;305
354;305
355;305
356;304
357;304
358;304
359;303
360;303
361;303
363;303
364;303
365;303
366;302
367;301
367;300
368;300
369;300
370;300
371;300
371;299
372;299
374;298
375;298
376;298
377;297
378;297
379;297
380;297
381;296
383;296
384;295
385;295
386;294
387;293
388;293
388;292
389;292
390;292
391;291
391;290
392;290
393;290
393;289
394;289
394;288
395;288
396;288
397;288
398;286
399;286
399;285
400;285
401;285
402;284
402;283
403;283
403;282
404;281
405;281
406;280
407;280
409;279
410;279
411;279
412;278
413;278
414;278
414;277
415;277
416;276
418;276
419;275
419;274
420;273
421;273
422;273
422;272
423;272
423;271
424;271
425;271
426;270
427;269
428;269
429;269
429;268
430;268
431;267
432;267
433;266
434;266
435;265
436;265
437;265
438;265
439;265
439;264
440;263
441;263
442;263
443;263
443;262
444;262
445;262
445;261
446;261
446;260
447;260
447;259
448;259
448;258
449;258
450;258
451;258
451;257
452;257
452;256
453;256
454;256
456;256
456;255
457;254
458;254
458;253
459;253
460;253
461;253
461;252
462;252
463;252
464;252
464;251
465;251
466;251
466;250
467;250
468;250
469;249
470;249
471;248
473;248
474;248
475;248
476;248
477;248
477;247
478;247
478;246
479;246
480;245
481;245
482;245
483;244
484;244
485;244
486;244
486;243
487;242
488;242
489;242
490;242
491;241
492;241
492;240
493;240
494;240
494;239
495;239
496;239
497;239
498;238
499;238
500;238
500;237
501;237
501;236
502;236
503;235
504;235
504;234
505;234
506;234
507;233
508;233
509;233
509;232
510;232
510;231
511;231
512;231
512;230
